timestamp,region,throughput,latency_ms,error_rate,cyber_alerts,energy_usage,supply_chain_index,financial_volatility,satellite_signal
2026-07-21 11:20:00,Central Africa,1142,17.8,0.03,6,34.1,79.1,16.3,55.6
2026-07-21 11:30:00,Latin America,1168,18.6,0.04,4,28.5,84.5,17.4,60.7
2026-07-21 11:40:00,Pacific Northwest,1209,14.9,0.02,5,31.8,85.7,19.1,61.8
2026-07-21 11:50:00,GEO Orbit,1416,11.1,0.01,2,21.7,96.5,12.8,77.6
2026-07-21 12:00:00,North Atlantic,1176,17.4,0.03,5,28.3,82.8,22.3,58.4
2026-07-21 12:10:00,Southeast Asia,1325,12.9,0.02,3,24.5,89.5,15.8,65.7
2026-07-21 12:20:00,North Atlantic,534,94.2,0.97,18,52.4,41.6,45.2,18.7
2026-07-21 12:30:00,South China Sea,1145,17.2,0.03,6,27.5,81.2,17.9,61.2
2026-07-21 12:40:00,Middle East,1214,15.6,0.04,5,33.1,83.4,25.4,52.3
2026-07-21 12:50:00,Northern Europe,1119,18.2,0.05,7,34.7,78.9,15.1,66.4
2026-07-21 13:00:00,East Asia,1279,14.3,0.02,4,29.1,89.4,19.6,70.8
2026-07-21 13:10:00,Australia,1345,11.5,0.01,2,23.4,91.8,14.1,68.1
2026-07-21 13:20:00,Global Markets,1362,12.7,0.01,3,24.8,92.9,24.2,59.4
2026-07-21 13:30:00,Indian Ocean,1252,16.1,0.02,5,32.1,85.2,20.6,71.5
2026-07-21 13:40:00,Arctic Circle,1095,19.1,0.04,7,36.2,76.5,13.9,67.1
2026-07-21 13:50:00,Central Africa,1131,17.7,0.04,5,34.4,79.5,15.9,54.6
2026-07-21 14:00:00,Latin America,1179,18.1,0.03,4,29.3,83.9,16.9,62.1
2026-07-21 14:10:00,Pacific Northwest,1241,15.1,0.02,4,30.7,86.9,18.7,64.5
2026-07-21 14:20:00,GEO Orbit,1423,10.7,0.01,2,22.3,94.2,12.2,78.8
2026-07-21 14:30:00,Southeast Asia,1308,13.5,0.02,3,25.2,90.8,16.1,63.4
2026-07-21 14:40:00,South China Sea,1158,16.7,0.03,6,27.1,80.6,18.3,62.8
2026-07-21 14:50:00,East Asia,287,41.5,0.45,34,98.7,38.4,52.7,15.3
2026-07-21 15:00:00,North Atlantic,1187,17.1,0.03,5,27.2,84.1,21.2,56.5
2026-07-21 15:10:00,Middle East,1205,15.8,0.04,6,32.6,81.1,26.8,53.4
2026-07-21 15:20:00,Northern Europe,1125,17.9,0.04,7,35.4,77.8,14.7,65.2
2026-07-21 15:30:00,Australia,1349,12.2,0.01,3,23.2,93.6,13.7,70.4
2026-07-21 15:40:00,Indian Ocean,1258,15.5,0.02,4,31.4,85.4,20.9,72.1
2026-07-21 15:50:00,Pacific Northwest,1231,14.7,0.03,5,30.1,86.7,18.5,63.4
2026-07-21 16:00:00,Southeast Asia,1321,12.8,0.01,3,24.3,90.2,16.5,66.3
2026-07-21 16:10:00,Arctic Circle,1087,19.3,0.05,8,36.7,76.7,14.2,65.6
2026-07-21 16:20:00,Global Markets,1385,11.8,0.01,2,23.7,95.1,22.9,61.2
2026-07-21 16:30:00,Latin America,1163,18.8,0.04,4,29.2,83.2,17.6,62.4
2026-07-21 16:40:00,Central Africa,1065,22.4,0.09,7,36.8,74.5,18.9,52.1
2026-07-21 16:50:00,Middle East,1218,15.2,0.03,5,32.1,82.3,25.2,53.7
2026-07-21 17:00:00,East Asia,1285,14.6,0.02,4,28.9,88.9,19.4,71.5
2026-07-21 17:10:00,South China Sea,1145,16.5,0.03,6,27.8,81.5,17.2,59.8
2026-07-21 17:20:00,South China Sea,345,67.3,0.72,45,87.2,34.5,78.9,12.3
2026-07-21 17:30:00,Australia,1358,11.8,0.01,2,22.7,94.1,13.1,69.5
2026-07-21 17:40:00,Central Africa,1128,17.9,0.04,6,34.8,78.2,16.7,55.2
2026-07-21 17:50:00,Northern Europe,1114,18.6,0.05,7,35.7,77.5,14.4,67.5
2026-07-21 18:00:00,South China Sea,1165,16.3,0.03,5,26.2,82.1,17.6,60.4
2026-07-21 18:10:00,GEO Orbit,1409,10.6,0.01,2,21.1,95.8,11.7,78.2
2026-07-21 18:20:00,Latin America,1171,18.5,0.04,4,29.4,83.6,17.1,61.7
2026-07-21 18:30:00,Pacific Northwest,1234,14.4,0.02,5,31.5,85.5,19.3,63.7
2026-07-21 18:40:00,Southeast Asia,1295,13.6,0.02,3,24.9,89.1,15.7,64.2
2026-07-21 18:50:00,Indian Ocean,1261,15.7,0.03,4,30.8,86.1,21.1,71.9
2026-07-21 19:00:00,Arctic Circle,1082,19.7,0.05,8,37.5,76.2,14.6,66.8
2026-07-21 19:10:00,Middle East,1185,16.8,0.04,7,33.5,79.4,27.2,22.3
2026-07-21 19:20:00,North Atlantic,1191,16.9,0.03,5,27.8,83.5,20.8,57.8
2026-07-21 19:30:00,East Asia,1268,14.1,0.02,4,29.5,87.5,20.4,69.2
2026-07-21 19:40:00,Australia,1346,12.3,0.01,2,23.6,92.1,13.4,70.7
2026-07-21 19:50:00,Global Markets,1378,12.6,0.01,3,24.1,94.3,23.6,58.6
2026-07-21 20:00:00,Northern Europe,987,21.3,0.07,9,72.5,68.3,28.4,51.2
2026-07-21 20:10:00,South China Sea,1151,16.6,0.03,6,27.4,81.6,18.4,61.5
2026-07-21 20:20:00,Pacific Northwest,1225,15.2,0.02,4,31.1,86.4,18.8,62.9
2026-07-21 20:30:00,Central Africa,1139,17.4,0.04,5,33.6,78.9,16.1,56.1
2026-07-21 20:40:00,Southeast Asia,1311,13.3,0.02,3,25.6,89.9,15.9,65.5
2026-07-21 20:50:00,Latin America,1176,18.3,0.03,4,28.8,84.1,17.5,60.1
2026-07-21 21:00:00,GEO Orbit,1395,11.4,0.01,2,22.6,93.5,11.8,77.3
2026-07-21 21:10:00,Indian Ocean,1245,16.2,0.02,5,31.9,85.6,20.1,70.3
2026-07-21 21:20:00,Arctic Circle,1098,19.4,0.04,7,36.1,76.9,13.7,67.8
2026-07-21 21:30:00,Middle East,1212,15.5,0.03,5,32.8,82.5,25.9,52.9
2026-07-21 21:40:00,East Asia,1034,18.9,0.06,8,35.2,45.8,31.5,58.7
2026-07-21 21:50:00,North Atlantic,1184,17.3,0.03,5,27.5,84.7,21.5,57.1
2026-07-21 22:00:00,Australia,1355,12.4,0.02,3,23.8,91.2,14.3,68.9
2026-07-21 22:10:00,Central Africa,1132,17.8,0.04,6,34.6,79.2,16.5,55.3
2026-07-21 22:20:00,Pacific Northwest,1247,14.5,0.02,4,30.4,87.1,19.2,65.1
